,Year,Type of Crime,Number of Crimes Reported,Gross Domestic Product (GDP)
145,2013,Dangerous drugs,"4,316",5.9
146,2013,Traffic offences,45,5.9
147,2013,Criminal damage,"3,603",5.9
148,2013,Economic crimes,"2,750",5.9
149,2013,Corruption,57,5.9
150,2013,Offences involving police officers,95,5.9
151,2013,Offences involving tourists,14,5.9
152,2013,Other penal code offences,"6,250",5.9
153,2014,Homicide,"2,649",5.4
154,2014,Offences against morality,"5,184",5.4
155,2014,Other offences against persons,"19,911",5.4
156,2014,Robbery,"3,011",5.4
157,2014,Breakings,"5,656",5.4
158,2014,Theft of stock,"1,848",5.4
159,2014,Stealing,"10,042",5.4
160,2014,Theft by servant,"2,279",5.4
161,2014,Vehicles and other thefts,"1,239",5.4
162,2014,Dangerous drugs,"4,850",5.4
163,2014,Traffic offences,100,5.4
164,2014,Criminal damage,"3,709",5.4
165,2014,Economic crimes,"3,038",5.4
166,2014,Corruption,138,5.4
167,2014,Offences involving police officers,53,5.4
168,2014,Offences involving tourists,21,5.4
169,2014,Other penal code offences,"5,648",5.4
170,2015,Homicide,"2,648",5.7
171,2015,Offences against morality,"6,164",5.7
172,2015,Other offences against persons,"21,174",5.7
173,2015,Robbery,"2,865",5.7
174,2015,Breakings,"5,591",5.7
175,2015,Theft of stock,"1,961",5.7
176,2015,Stealing,"9,528",5.7
177,2015,Theft by servant,"2,184",5.7
178,2015,Vehicles and other thefts,"1,111",5.7
179,2015,Dangerous drugs,"5,525",5.7
180,2015,Traffic offences,120,5.7
181,2015,Criminal damage,"3,983",5.7
182,2015,Economic crimes,"3,244",5.7
183,2015,Corruption,79,5.7
184,2015,Offences involving police officers,71,5.7
185,2015,Offences involving tourists,19,5.7
186,2015,Other penal code offences,"6,223",5.7
187,2016,Homicide,"2,751",5.9
188,2016,Offences against morality,"6,228",5.9
189,2016,Other offences against persons,"22,295",5.9
190,2016,Robbery,"2,697",5.9
191,2016,Breakings,"5,621",5.9
192,2016,Theft of stock,"1,918",5.9
193,2016,Stealing,"10,361",5.9
194,2016,Theft by servant,"2,440",5.9
195,2016,Vehicles and other thefts,"1,355",5.9
196,2016,Dangerous drugs,"6,160",5.9
197,2016,Traffic offences,139,5.9
198,2016,Criminal damage,"4,307",5.9
199,2016,Economic crimes,"3,503",5.9
200,2016,Corruption,92,5.9
201,2016,Offences involving police officers,57,5.9
202,2016,Offences involving tourists,15,5.9
203,2016,Other penal code offences,"7,047",5.9
204,2017,Homicide,"2,774",4.8
205,2017,Offences against morality,"5,492",4.8
206,2017,Other offences against persons,"22,515",4.8
207,2017,Robbery,"2,713",4.8
208,2017,Breakings,"6,131",4.8
209,2017,Theft of stock,"2,136",4.8
210,2017,Stealing,"11,656",4.8
211,2017,Theft by servant,"2,632",4.8
212,2017,Vehicles and other thefts,"1,404",4.8
213,2017,Dangerous drugs,"5,565",4.8
214,2017,Traffic offences,69,4.8
215,2017,Criminal damage,"4,262",4.8
216,2017,Economic crimes,"3,695",4.8
217,2017,Corruption,75,4.8
218,2017,Offences involving police officers,86,4.8
219,2017,Offences involving tourists,15,4.8
220,2017,Other penal code offences,"6,772",4.8
221,2018,Homicide,"2,856",6.3
222,2018,Offences against morality,"7,233",6.3
223,2018,Other offences against persons,"25,049",6.3
224,2018,Robbery,"2,935",6.3
225,2018,Breakings,"5,970",6.3
226,2018,Theft of stock,"2,077",6.3
227,2018,Stealing,"12,845",6.3
228,2018,Theft by servant,"2,477",6.3
229,2018,Vehicles and other thefts,"1,370",6.3
230,2018,Dangerous drugs,"8,021",6.3
231,2018,Traffic offences,213,6.3
232,2018,Criminal damage,"4,783",6.3
233,2018,Economic crimes,"4,100",6.3
234,2018,Corruption,119,6.3
235,2018,Offences involving police officers,174,6.3
236,2018,Offences involving tourists,93,6.3
237,2018,Other penal code offences,"7,953",6.3
